name,address,phone,supID
Shenoy LLC,"640/39 Main Road, Kolkata, West Bengal",+91-7042611349,1
Chand Ltd,"55/63 Main Road, Lucknow, Uttar Pradesh",+91-7230082926,2
Pall-Naidu,"887/72 Main Road, Pune, Maharashtra",+91-9048211766,3
Bahl LLC,"373/95 Main Road, Delhi, Delhi",+91-7842123643,4
Bhargava Group,"557/96 Main Road, Chennai, Tamil Nadu",+91-9299186761,5
Nagy and Sons,"799/79 Main Road, Kolkata, West Bengal",+91-9038370664,6
Varty Group,"482/32 Main Road, Bengaluru, Karnataka",+91-7186535698,7
"Pillai, Dhingra and Andra","449/73 Main Road, Mumbai, Maharashtra",+91-7430986109,8
Chada-Bir,"92/42 Main Road, Mumbai, Maharashtra",+91-7235398902,9
"Kanda, Srinivasan and Lanka","974/61 Main Road, Chennai, Tamil Nadu",+91-8618931142,10
Amble-Bail,"264/93 Main Road, Mumbai, Maharashtra",+91-8309358261,11
"Rout, Bala and Prakash","257/12 Main Road, Bengaluru, Karnataka",+91-7893603471,12
Singhal-Dugar,"715/1 Main Road, Bengaluru, Karnataka",+91-8805309371,13
Menon-Bhattacharyya,"485/96 Main Road, Lucknow, Uttar Pradesh",+91-9700863466,14
Peri-Nayak,"79/31 Main Road, Lucknow, Uttar Pradesh",+91-7032262202,15
Sethi-Balay,"213/63 Main Road, Pune, Maharashtra",+91-7749332339,16
"Raval, Apte and Karnik","799/48 Main Road, Jaipur, Rajasthan",+91-8236016030,17
"Sehgal, Nagi and Chaudhary","467/50 Main Road, Kolkata, West Bengal",+91-9071458490,18
"Pillai, Nair and Bhardwaj","302/14 Main Road, Delhi, Delhi",+91-9970118373,19
Ahluwalia-Chowdhury,"804/27 Main Road, Pune, Maharashtra",+91-8822166793,20
"Deo, Sibal and Barman","439/44 Main Road, Lucknow, Uttar Pradesh",+91-9104878214,21
Gola PLC,"259/85 Main Road, Chennai, Tamil Nadu",+91-9571909954,22
Shetty-Panchal,"827/10 Main Road, Hyderabad, Telangana",+91-9408248279,23
Issac-Choudhry,"290/32 Main Road, Kolkata, West Bengal",+91-9105101124,24
Banerjee Ltd,"54/19 Main Road, Chennai, Tamil Nadu",+91-8033236364,25
Oak-Ratta,"390/27 Main Road, Ahmedabad, Gujarat",+91-9800866274,26
Din PLC,"366/1 Main Road, Ahmedabad, Gujarat",+91-9096354952,27
Singhal-Dugar,"970/68 Main Road, Hyderabad, Telangana",+91-9287433922,28
"Rai, Apte and Koshy","118/70 Main Road, Lucknow, Uttar Pradesh",+91-7028217402,29
Narayanan and Sons,"897/84 Main Road, Jaipur, Rajasthan",+91-8163707067,30
Sarin and Sons,"692/47 Main Road, Mumbai, Maharashtra",+91-9654065461,31
Rao-Nazareth,"830/16 Main Road, Bengaluru, Karnataka",+91-8511932733,32
Pall Ltd,"861/74 Main Road, Bengaluru, Karnataka",+91-8200003263,33
Pai Group,"933/60 Main Road, Mumbai, Maharashtra",+91-8825518762,34
"Mitra, Trivedi and Dora","376/92 Main Road, Pune, Maharashtra",+91-9998750975,35
Padmanabhan and Sons,"325/32 Main Road, Ahmedabad, Gujarat",+91-8938091573,36
Gokhale Group,"187/44 Main Road, Mumbai, Maharashtra",+91-9952436178,37
"Kannan, Varma and Tailor","311/17 Main Road, Delhi, Delhi",+91-8845886488,38
"Bera, Mander and Chowdhury","805/46 Main Road, Jaipur, Rajasthan",+91-7140691358,39
"Krishnan, Shukla and Krishnan","739/58 Main Road, Pune, Maharashtra",+91-9077851451,40
"Mammen, Nanda and Prabhu","418/66 Main Road, Kolkata, West Bengal",+91-8415182589,41
Mangal Group,"825/54 Main Road, Lucknow, Uttar Pradesh",+91-8790613033,42
Singhal-Dugar,"654/31 Main Road, Mumbai, Maharashtra",+91-9676885888,43
"Chowdhury, Sahni and Vig","352/26 Main Road, Jaipur, Rajasthan",+91-9149382300,44
"Dalal, Sani and Bansal","406/26 Main Road, Kolkata, West Bengal",+91-8572139148,45
Andra Group,"731/28 Main Road, Lucknow, Uttar Pradesh",+91-7625914752,46
Menon-Bhattacharyya,"407/65 Main Road, Jaipur, Rajasthan",+91-9209890872,47
"Dalal, Suri and Trivedi","521/25 Main Road, Hyderabad, Telangana",+91-8387503116,48
Mann Group,"37/68 Main Road, Ahmedabad, Gujarat",+91-9627744982,49
Mani-Narang,"804/47 Main Road, Lucknow, Uttar Pradesh",+91-7826177091,50
"Saxena, Chad and Handa","8/16 Main Road, Mumbai, Maharashtra",+91-8114312752,51
Oak-Ratta,"365/36 Main Road, Bengaluru, Karnataka",+91-9633823972,52
"Ravel, Raval and Morar","548/53 Main Road, Lucknow, Uttar Pradesh",+91-8939008724,53
"Kanda, Srinivasan and Lanka","56/18 Main Road, Hyderabad, Telangana",+91-9264903333,54
"Koshy, Dayal and Pillai","614/69 Main Road, Lucknow, Uttar Pradesh",+91-7334976534,55
"Chada, Mall and Parmar","621/86 Main Road, Chennai, Tamil Nadu",+91-7741954198,56
Dani LLC,"260/38 Main Road, Pune, Maharashtra",+91-8229075841,57
Solanki-Behl,"821/30 Main Road, Lucknow, Uttar Pradesh",+91-9175957511,58
Issac-Choudhry,"67/52 Main Road, Mumbai, Maharashtra",+91-9245940444,59
"Nayak, Pant and Arya","219/73 Main Road, Chennai, Tamil Nadu",+91-8561772288,60
"Dugal, Tak and Dugar","118/78 Main Road, Jaipur, Rajasthan",+91-9989343689,61
Din PLC,"125/62 Main Road, Ahmedabad, Gujarat",+91-8636722836,62
Chada-Bir,"585/67 Main Road, Jaipur, Rajasthan",+91-7277469673,63
Warrior PLC,"43/17 Main Road, Lucknow, Uttar Pradesh",+91-9177551804,64
Gola PLC,"571/92 Main Road, Chennai, Tamil Nadu",+91-8551536040,65
"De, Subramaniam and Seth","217/49 Main Road, Chennai, Tamil Nadu",+91-8644796948,66
Bahl-Reddy,"830/98 Main Road, Hyderabad, Telangana",+91-7050356746,67
"Virk, Golla and Bhatti","121/62 Main Road, Delhi, Delhi",+91-8197397226,68
"Borde, Barman and Vora","281/81 Main Road, Delhi, Delhi",+91-9084474761,69
Thaman and Sons,"443/92 Main Road, Pune, Maharashtra",+91-9252254038,70
Chokshi Group,"861/98 Main Road, Jaipur, Rajasthan",+91-7895958496,71
"Sanghvi, Parekh and Gera","752/68 Main Road, Bengaluru, Karnataka",+91-9306904966,72
Chakraborty-Majumdar,"753/38 Main Road, Jaipur, Rajasthan",+91-9419538458,73
Yadav-Madan,"644/72 Main Road, Delhi, Delhi",+91-9630980744,74
"Aurora, Ramanathan and Khalsa","543/65 Main Road, Lucknow, Uttar Pradesh",+91-9692853196,75
"Kapoor, Sagar and Gokhale","399/57 Main Road, Mumbai, Maharashtra",+91-9771441759,76
"Date, Dhaliwal and Choudhry","254/44 Main Road, Kolkata, West Bengal",+91-7992455074,77
"Krishna, Hari and Banerjee","794/26 Main Road, Jaipur, Rajasthan",+91-9625300199,78
"Butala, Gara and Gopal","801/31 Main Road, Mumbai, Maharashtra",+91-7260316134,79
Subramaniam Inc,"65/76 Main Road, Hyderabad, Telangana",+91-7037011709,80
Gola PLC,"246/38 Main Road, Delhi, Delhi",+91-7650009532,81
"Chada, Mall and Parmar","200/84 Main Road, Hyderabad, Telangana",+91-9295082407,82
Atwal-Tiwari,"764/19 Main Road, Hyderabad, Telangana",+91-7518403385,83
"Date, Dhaliwal and Choudhry","292/41 Main Road, Hyderabad, Telangana",+91-8001611398,84
Walia Ltd,"214/40 Main Road, Bengaluru, Karnataka",+91-8548674468,85
"Gaba, Lanka and Madan","907/83 Main Road, Hyderabad, Telangana",+91-7295524860,86
Goswami Group,"201/22 Main Road, Lucknow, Uttar Pradesh",+91-8754475527,87
Gola PLC,"840/6 Main Road, Hyderabad, Telangana",+91-8713165048,88
Chokshi Group,"392/92 Main Road, Pune, Maharashtra",+91-7056959542,89
"Salvi, Gulati and Thaman","719/48 Main Road, Lucknow, Uttar Pradesh",+91-8359772649,90
"Rai, Apte and Koshy","723/32 Main Road, Kolkata, West Bengal",+91-8125416982,91
Khosla-Hans,"934/69 Main Road, Delhi, Delhi",+91-7478887059,92
Srivastava Inc,"234/2 Main Road, Delhi, Delhi",+91-9252244338,93
"Pillai, Nair and Bhardwaj","836/47 Main Road, Chennai, Tamil Nadu",+91-9591992596,94
Oak-Ratta,"260/95 Main Road, Delhi, Delhi",+91-7759933246,95
Nagy and Sons,"137/53 Main Road, Bengaluru, Karnataka",+91-8954671587,96
"Varughese, Bal and Kuruvilla","717/55 Main Road, Pune, Maharashtra",+91-8419104273,97
Dhawan-Bhasin,"746/42 Main Road, Hyderabad, Telangana",+91-9272856704,98
"Gill, Kapadia and Wagle","301/42 Main Road, Pune, Maharashtra",+91-8636306370,99
Dora-Kakar,"920/66 Main Road, Hyderabad, Telangana",+91-8591529473,100
